,model,persona,variant,pid,vda,vda_normalized
2179,mistral,Republican,cot,79.0,0.72,-0.040000000000000036
2180,mistral,Republican,cot,80.0,0.72,-0.040000000000000036
2181,mistral,Republican,cot,81.0,0.72,-0.040000000000000036
2182,mistral,Republican,cot,82.0,0.78,0.020000000000000018
2183,mistral,Republican,cot,83.0,0.75,-0.010000000000000009
2184,mistral,Republican,cot,84.0,0.75,-0.010000000000000009
2185,mistral,Republican,cot,85.0,0.77,0.010000000000000009
2186,mistral,Republican,cot,86.0,0.74,-0.020000000000000018
2187,mistral,Republican,cot,87.0,0.75,-0.010000000000000009
2188,mistral,Republican,cot,88.0,0.74,-0.020000000000000018
2189,mistral,Republican,cot,89.0,0.7,-0.06000000000000005
2190,mistral,Republican,cot,90.0,0.7,-0.06000000000000005
2191,mistral,Republican,cot,91.0,0.76,0.0
2192,mistral,Republican,cot,92.0,0.73,-0.030000000000000027
2193,mistral,Republican,cot,93.0,0.74,-0.020000000000000018
2194,mistral,Republican,cot,94.0,0.71,-0.050000000000000044
2195,mistral,Republican,cot,95.0,0.73,-0.030000000000000027
2196,mistral,Republican,cot,96.0,0.76,0.0
2197,mistral,Republican,cot,97.0,0.74,-0.020000000000000018
2198,mistral,Republican,cot,98.0,0.74,-0.020000000000000018
2199,mistral,Republican,cot,99.0,0.74,-0.020000000000000018
2200,wizardlm2,Democrat,cot,0.0,0.65,0.05469999999999997
2201,wizardlm2,Democrat,cot,1.0,0.7,0.1046999999999999
2202,wizardlm2,Democrat,cot,2.0,0.6900000000000001,0.0947
2203,wizardlm2,Democrat,cot,3.0,0.6900000000000001,0.0947
2204,wizardlm2,Democrat,cot,4.0,0.67,0.07469999999999999
2205,wizardlm2,Democrat,cot,5.0,0.71,0.11469999999999991
2206,wizardlm2,Democrat,cot,6.0,0.6900000000000001,0.0947
2207,wizardlm2,Democrat,cot,7.0,0.67,0.07469999999999999
2208,wizardlm2,Democrat,cot,8.0,0.6799999999999999,0.08469999999999989
2209,wizardlm2,Democrat,cot,9.0,0.6900000000000001,0.0947
2210,wizardlm2,Democrat,cot,10.0,0.6799999999999999,0.08469999999999989
2211,wizardlm2,Democrat,cot,11.0,0.71,0.11469999999999991
2212,wizardlm2,Democrat,cot,12.0,0.71,0.11469999999999991
2213,wizardlm2,Democrat,cot,13.0,0.6599999999999999,0.06469999999999987
2214,wizardlm2,Democrat,cot,14.0,0.71,0.11469999999999991
2215,wizardlm2,Democrat,cot,15.0,0.7,0.1046999999999999
2216,wizardlm2,Democrat,cot,16.0,0.71,0.11469999999999991
2217,wizardlm2,Democrat,cot,17.0,0.67,0.07469999999999999
2218,wizardlm2,Democrat,cot,18.0,0.73,0.13469999999999993
2219,wizardlm2,Democrat,cot,19.0,0.6799999999999999,0.08469999999999989
2220,wizardlm2,Democrat,cot,20.0,0.73,0.13469999999999993
2221,wizardlm2,Democrat,cot,21.0,0.6599999999999999,0.06469999999999987
2222,wizardlm2,Democrat,cot,22.0,0.72,0.12469999999999992
2223,wizardlm2,Democrat,cot,23.0,0.6799999999999999,0.08469999999999989
2224,wizardlm2,Democrat,cot,24.0,0.7,0.1046999999999999
2225,wizardlm2,Democrat,cot,25.0,0.6799999999999999,0.08469999999999989
2226,wizardlm2,Democrat,cot,26.0,0.6900000000000001,0.0947
2227,wizardlm2,Democrat,cot,27.0,0.71,0.11469999999999991
2228,wizardlm2,Democrat,cot,28.0,0.75,0.15469999999999995
2229,wizardlm2,Democrat,cot,29.0,0.78,0.18469999999999998
2230,wizardlm2,Democrat,cot,30.0,0.72,0.12469999999999992
2231,wizardlm2,Democrat,cot,31.0,0.65,0.05469999999999997
2232,wizardlm2,Democrat,cot,32.0,0.67,0.07469999999999999
2233,wizardlm2,Democrat,cot,33.0,0.67,0.07469999999999999
2234,wizardlm2,Democrat,cot,34.0,0.61,0.014699999999999935
2235,wizardlm2,Democrat,cot,35.0,0.7,0.1046999999999999
2236,wizardlm2,Democrat,cot,36.0,0.67,0.07469999999999999
2237,wizardlm2,Democrat,cot,37.0,0.7,0.1046999999999999
2238,wizardlm2,Democrat,cot,38.0,0.6900000000000001,0.0947
2239,wizardlm2,Democrat,cot,39.0,0.6599999999999999,0.06469999999999987
2240,wizardlm2,Democrat,cot,40.0,0.7,0.1046999999999999
2241,wizardlm2,Democrat,cot,41.0,0.6799999999999999,0.08469999999999989
2242,wizardlm2,Democrat,cot,42.0,0.6799999999999999,0.08469999999999989
2243,wizardlm2,Democrat,cot,43.0,0.71,0.11469999999999991
2244,wizardlm2,Democrat,cot,44.0,0.6900000000000001,0.0947
2245,wizardlm2,Democrat,cot,45.0,0.6900000000000001,0.0947
2246,wizardlm2,Democrat,cot,46.0,0.73,0.13469999999999993
2247,wizardlm2,Democrat,cot,47.0,0.71,0.11469999999999991
2248,wizardlm2,Democrat,cot,48.0,0.62,0.024699999999999944
2249,wizardlm2,Democrat,cot,49.0,0.71,0.11469999999999991
2250,wizardlm2,Democrat,cot,50.0,0.71,0.11469999999999991
2251,wizardlm2,Democrat,cot,51.0,0.65,0.05469999999999997
2252,wizardlm2,Democrat,cot,52.0,0.6799999999999999,0.08469999999999989
2253,wizardlm2,Democrat,cot,53.0,0.6599999999999999,0.06469999999999987
2254,wizardlm2,Democrat,cot,54.0,0.6599999999999999,0.06469999999999987
2255,wizardlm2,Democrat,cot,55.0,0.6799999999999999,0.08469999999999989
2256,wizardlm2,Democrat,cot,56.0,0.6900000000000001,0.0947
2257,wizardlm2,Democrat,cot,57.0,0.71,0.11469999999999991
2258,wizardlm2,Democrat,cot,58.0,0.67,0.07469999999999999
2259,wizardlm2,Democrat,cot,59.0,0.67,0.07469999999999999
2260,wizardlm2,Democrat,cot,60.0,0.63,0.03469999999999995
2261,wizardlm2,Democrat,cot,61.0,0.7,0.1046999999999999
2262,wizardlm2,Democrat,cot,62.0,0.65,0.05469999999999997
2263,wizardlm2,Democrat,cot,63.0,0.62,0.024699999999999944
2264,wizardlm2,Democrat,cot,64.0,0.62,0.024699999999999944
2265,wizardlm2,Democrat,cot,65.0,0.64,0.04469999999999996
2266,wizardlm2,Democrat,cot,66.0,0.71,0.11469999999999991
2267,wizardlm2,Democrat,cot,67.0,0.71,0.11469999999999991
2268,wizardlm2,Democrat,cot,68.0,0.6900000000000001,0.0947
2269,wizardlm2,Democrat,cot,69.0,0.6799999999999999,0.08469999999999989
2270,wizardlm2,Democrat,cot,70.0,0.6900000000000001,0.0947
2271,wizardlm2,Democrat,cot,71.0,0.6900000000000001,0.0947
2272,wizardlm2,Democrat,cot,72.0,0.7,0.1046999999999999
2273,wizardlm2,Democrat,cot,73.0,0.7,0.1046999999999999
2274,wizardlm2,Democrat,cot,74.0,0.6599999999999999,0.06469999999999987
2275,wizardlm2,Democrat,cot,75.0,0.71,0.11469999999999991
2276,wizardlm2,Democrat,cot,76.0,0.7,0.1046999999999999
2277,wizardlm2,Democrat,cot,77.0,0.72,0.12469999999999992
2278,wizardlm2,Democrat,cot,78.0,0.6900000000000001,0.0947
2279,wizardlm2,Democrat,cot,79.0,0.65,0.05469999999999997
2280,wizardlm2,Democrat,cot,80.0,0.71,0.11469999999999991
2281,wizardlm2,Democrat,cot,81.0,0.64,0.04469999999999996
2282,wizardlm2,Democrat,cot,82.0,0.6799999999999999,0.08469999999999989
2283,wizardlm2,Democrat,cot,83.0,0.6799999999999999,0.08469999999999989
2284,wizardlm2,Democrat,cot,84.0,0.77,0.17469999999999997
2285,wizardlm2,Democrat,cot,85.0,0.6599999999999999,0.06469999999999987
2286,wizardlm2,Democrat,cot,86.0,0.6900000000000001,0.0947
2287,wizardlm2,Democrat,cot,87.0,0.6799999999999999,0.08469999999999989
2288,wizardlm2,Democrat,cot,88.0,0.67,0.07469999999999999
2289,wizardlm2,Democrat,cot,89.0,0.72,0.12469999999999992
2290,wizardlm2,Democrat,cot,90.0,0.71,0.11469999999999991
2291,wizardlm2,Democrat,cot,91.0,0.6799999999999999,0.08469999999999989
2292,wizardlm2,Democrat,cot,92.0,0.74,0.14469999999999994
2293,wizardlm2,Democrat,cot,93.0,0.7,0.1046999999999999
2294,wizardlm2,Democrat,cot,94.0,0.72,0.12469999999999992
2295,wizardlm2,Democrat,cot,95.0,0.6799999999999999,0.08469999999999989
2296,wizardlm2,Democrat,cot,96.0,0.6900000000000001,0.0947
2297,wizardlm2,Democrat,cot,97.0,0.6599999999999999,0.06469999999999987
2298,wizardlm2,Democrat,cot,98.0,0.6599999999999999,0.06469999999999987
2299,wizardlm2,Democrat,cot,99.0,0.67,0.07469999999999999
2300,wizardlm2,Republican,cot,0.0,0.74,0.14469999999999994
2301,wizardlm2,Republican,cot,1.0,0.75,0.15469999999999995
2302,wizardlm2,Republican,cot,2.0,0.75,0.15469999999999995
2303,wizardlm2,Republican,cot,3.0,0.77,0.17469999999999997
2304,wizardlm2,Republican,cot,4.0,0.8099999999999999,0.2146999999999999
2305,wizardlm2,Republican,cot,5.0,0.77,0.17469999999999997
2306,wizardlm2,Republican,cot,6.0,0.77,0.17469999999999997
2307,wizardlm2,Republican,cot,7.0,0.79,0.19469999999999998
2308,wizardlm2,Republican,cot,8.0,0.74,0.14469999999999994
2309,wizardlm2,Republican,cot,9.0,0.74,0.14469999999999994
2310,wizardlm2,Republican,cot,10.0,0.77,0.17469999999999997
2311,wizardlm2,Republican,cot,11.0,0.8,0.2047
2312,wizardlm2,Republican,cot,12.0,0.73,0.13469999999999993
2313,wizardlm2,Republican,cot,13.0,0.77,0.17469999999999997
2314,wizardlm2,Republican,cot,14.0,0.76,0.16469999999999996
2315,wizardlm2,Republican,cot,15.0,0.78,0.18469999999999998
2316,wizardlm2,Republican,cot,16.0,0.79,0.19469999999999998
2317,wizardlm2,Republican,cot,17.0,0.78,0.18469999999999998
2318,wizardlm2,Republican,cot,18.0,0.78,0.18469999999999998
2319,wizardlm2,Republican,cot,19.0,0.71,0.11469999999999991
2320,wizardlm2,Republican,cot,20.0,0.76,0.16469999999999996
2321,wizardlm2,Republican,cot,21.0,0.78,0.18469999999999998
2322,wizardlm2,Republican,cot,22.0,0.78,0.18469999999999998
2323,wizardlm2,Republican,cot,23.0,0.77,0.17469999999999997
2324,wizardlm2,Republican,cot,24.0,0.76,0.16469999999999996
2325,wizardlm2,Republican,cot,25.0,0.76,0.16469999999999996
2326,wizardlm2,Republican,cot,26.0,0.79,0.19469999999999998
2327,wizardlm2,Republican,cot,27.0,0.77,0.17469999999999997
2328,wizardlm2,Republican,cot,28.0,0.76,0.16469999999999996
2329,wizardlm2,Republican,cot,29.0,0.76,0.16469999999999996
2330,wizardlm2,Republican,cot,30.0,0.78,0.18469999999999998
2331,wizardlm2,Republican,cot,31.0,0.73,0.13469999999999993
2332,wizardlm2,Republican,cot,32.0,0.71,0.11469999999999991
2333,wizardlm2,Republican,cot,33.0,0.74,0.14469999999999994
2334,wizardlm2,Republican,cot,34.0,0.78,0.18469999999999998
2335,wizardlm2,Republican,cot,35.0,0.76,0.16469999999999996
2336,wizardlm2,Republican,cot,36.0,0.77,0.17469999999999997
2337,wizardlm2,Republican,cot,37.0,0.77,0.17469999999999997
2338,wizardlm2,Republican,cot,38.0,0.73,0.13469999999999993
2339,wizardlm2,Republican,cot,39.0,0.72,0.12469999999999992
2340,wizardlm2,Republican,cot,40.0,0.74,0.14469999999999994
2341,wizardlm2,Republican,cot,41.0,0.76,0.16469999999999996
2342,wizardlm2,Republican,cot,42.0,0.77,0.17469999999999997
2343,wizardlm2,Republican,cot,43.0,0.8,0.2047
2344,wizardlm2,Republican,cot,44.0,0.72,0.12469999999999992
2345,wizardlm2,Republican,cot,45.0,0.78,0.18469999999999998
2346,wizardlm2,Republican,cot,46.0,0.7,0.1046999999999999
2347,wizardlm2,Republican,cot,47.0,0.77,0.17469999999999997
2348,wizardlm2,Republican,cot,48.0,0.76,0.16469999999999996
2349,wizardlm2,Republican,cot,49.0,0.76,0.16469999999999996
2350,wizardlm2,Republican,cot,50.0,0.78,0.18469999999999998
2351,wizardlm2,Republican,cot,51.0,0.74,0.14469999999999994
2352,wizardlm2,Republican,cot,52.0,0.74,0.14469999999999994
2353,wizardlm2,Republican,cot,53.0,0.79,0.19469999999999998
2354,wizardlm2,Republican,cot,54.0,0.78,0.18469999999999998
2355,wizardlm2,Republican,cot,55.0,0.8,0.2047
2356,wizardlm2,Republican,cot,56.0,0.74,0.14469999999999994
2357,wizardlm2,Republican,cot,57.0,0.72,0.12469999999999992
2358,wizardlm2,Republican,cot,58.0,0.78,0.18469999999999998
2359,wizardlm2,Republican,cot,59.0,0.77,0.17469999999999997
2360,wizardlm2,Republican,cot,60.0,0.76,0.16469999999999996
2361,wizardlm2,Republican,cot,61.0,0.73,0.13469999999999993
2362,wizardlm2,Republican,cot,62.0,0.78,0.18469999999999998
2363,wizardlm2,Republican,cot,63.0,0.77,0.17469999999999997
2364,wizardlm2,Republican,cot,64.0,0.79,0.19469999999999998
2365,wizardlm2,Republican,cot,65.0,0.8,0.2047
2366,wizardlm2,Republican,cot,66.0,0.74,0.14469999999999994
2367,wizardlm2,Republican,cot,67.0,0.74,0.14469999999999994
2368,wizardlm2,Republican,cot,68.0,0.76,0.16469999999999996
2369,wizardlm2,Republican,cot,69.0,0.78,0.18469999999999998
2370,wizardlm2,Republican,cot,70.0,0.76,0.16469999999999996
2371,wizardlm2,Republican,cot,71.0,0.72,0.12469999999999992
2372,wizardlm2,Republican,cot,72.0,0.74,0.14469999999999994
2373,wizardlm2,Republican,cot,73.0,0.8,0.2047
2374,wizardlm2,Republican,cot,74.0,0.73,0.13469999999999993
2375,wizardlm2,Republican,cot,75.0,0.78,0.18469999999999998
2376,wizardlm2,Republican,cot,76.0,0.78,0.18469999999999998
2377,wizardlm2,Republican,cot,77.0,0.8099999999999999,0.2146999999999999
2378,wizardlm2,Republican,cot,78.0,0.77,0.17469999999999997
2379,wizardlm2,Republican,cot,79.0,0.77,0.17469999999999997
2380,wizardlm2,Republican,cot,80.0,0.74,0.14469999999999994
2381,wizardlm2,Republican,cot,81.0,0.77,0.17469999999999997
2382,wizardlm2,Republican,cot,82.0,0.79,0.19469999999999998
2383,wizardlm2,Republican,cot,83.0,0.79,0.19469999999999998
2384,wizardlm2,Republican,cot,84.0,0.79,0.19469999999999998
2385,wizardlm2,Republican,cot,85.0,0.8,0.2047
2386,wizardlm2,Republican,cot,86.0,0.76,0.16469999999999996
2387,wizardlm2,Republican,cot,87.0,0.76,0.16469999999999996
2388,wizardlm2,Republican,cot,88.0,0.73,0.13469999999999993
2389,wizardlm2,Republican,cot,89.0,0.78,0.18469999999999998
2390,wizardlm2,Republican,cot,90.0,0.78,0.18469999999999998
2391,wizardlm2,Republican,cot,91.0,0.77,0.17469999999999997
2392,wizardlm2,Republican,cot,92.0,0.77,0.17469999999999997
2393,wizardlm2,Republican,cot,93.0,0.72,0.12469999999999992
2394,wizardlm2,Republican,cot,94.0,0.76,0.16469999999999996
2395,wizardlm2,Republican,cot,95.0,0.72,0.12469999999999992
2396,wizardlm2,Republican,cot,96.0,0.8,0.2047
2397,wizardlm2,Republican,cot,97.0,0.78,0.18469999999999998
2398,wizardlm2,Republican,cot,98.0,0.76,0.16469999999999996
2399,wizardlm2,Republican,cot,99.0,0.76,0.16469999999999996
2400,gpt-3.5-turbo-0125,Man,cot,0.0,0.8800000000000001,0.1051000000000002
2401,gpt-3.5-turbo-0125,Man,cot,1.0,0.86,0.08510000000000006
2402,gpt-3.5-turbo-0125,Man,cot,2.0,0.85,0.07510000000000006
2403,gpt-3.5-turbo-0125,Man,cot,3.0,0.86,0.08510000000000006
2404,gpt-3.5-turbo-0125,Man,cot,4.0,0.8400000000000001,0.06510000000000016
2405,gpt-3.5-turbo-0125,Man,cot,5.0,0.8699999999999999,0.09509999999999996
2406,gpt-3.5-turbo-0125,Man,cot,6.0,0.8400000000000001,0.06510000000000016
2407,gpt-3.5-turbo-0125,Man,cot,7.0,0.85,0.07510000000000006
2408,gpt-3.5-turbo-0125,Man,cot,8.0,0.9199999999999999,0.1451
2409,gpt-3.5-turbo-0125,Man,cot,9.0,0.8800000000000001,0.1051000000000002
2410,gpt-3.5-turbo-0125,Man,cot,10.0,0.8699999999999999,0.09509999999999996
2411,gpt-3.5-turbo-0125,Man,cot,11.0,0.8699999999999999,0.09509999999999996
2412,gpt-3.5-turbo-0125,Man,cot,12.0,0.8800000000000001,0.1051000000000002
2413,gpt-3.5-turbo-0125,Man,cot,13.0,0.93,0.15510000000000013
2414,gpt-3.5-turbo-0125,Man,cot,14.0,0.9052631578947368,0.13036315789473685
2415,gpt-3.5-turbo-0125,Man,cot,15.0,0.8800000000000001,0.1051000000000002
2416,gpt-3.5-turbo-0125,Man,cot,16.0,0.89,0.11510000000000009
2417,gpt-3.5-turbo-0125,Man,cot,17.0,0.8800000000000001,0.1051000000000002
2418,gpt-3.5-turbo-0125,Man,cot,18.0,0.78,0.0051000000000001044
2419,gpt-3.5-turbo-0125,Man,cot,19.0,0.8400000000000001,0.06510000000000016
2420,gpt-3.5-turbo-0125,Man,cot,20.0,0.8300000000000001,0.05510000000000015
2421,gpt-3.5-turbo-0125,Man,cot,21.0,0.86,0.08510000000000006
2422,gpt-3.5-turbo-0125,Man,cot,22.0,0.8800000000000001,0.1051000000000002
2423,gpt-3.5-turbo-0125,Man,cot,23.0,0.8699999999999999,0.09509999999999996
2424,gpt-3.5-turbo-0125,Man,cot,24.0,0.9,0.1251000000000001
2425,gpt-3.5-turbo-0125,Man,cot,25.0,0.8800000000000001,0.1051000000000002
2426,gpt-3.5-turbo-0125,Man,cot,26.0,0.8099999999999999,0.03510000000000002
2427,gpt-3.5-turbo-0125,Man,cot,27.0,0.8300000000000001,0.05510000000000015
2428,gpt-3.5-turbo-0125,Man,cot,28.0,0.9199999999999999,0.1451
2429,gpt-3.5-turbo-0125,Man,cot,29.0,0.8699999999999999,0.09509999999999996
2430,gpt-3.5-turbo-0125,Man,cot,30.0,0.9,0.1251000000000001
2431,gpt-3.5-turbo-0125,Man,cot,31.0,0.8800000000000001,0.1051000000000002
2432,gpt-3.5-turbo-0125,Man,cot,32.0,0.8400000000000001,0.06510000000000016
2433,gpt-3.5-turbo-0125,Man,cot,33.0,0.82,0.04510000000000003
2434,gpt-3.5-turbo-0125,Man,cot,34.0,0.89,0.11510000000000009
2435,gpt-3.5-turbo-0125,Man,cot,35.0,0.82,0.04510000000000003
2436,gpt-3.5-turbo-0125,Man,cot,36.0,0.8699999999999999,0.09509999999999996
2437,gpt-3.5-turbo-0125,Man,cot,37.0,0.8800000000000001,0.1051000000000002
2438,gpt-3.5-turbo-0125,Man,cot,38.0,0.863157894736842,0.08825789473684209
2439,gpt-3.5-turbo-0125,Man,cot,39.0,0.86,0.08510000000000006
2440,gpt-3.5-turbo-0125,Man,cot,40.0,0.79,0.015100000000000113
2441,gpt-3.5-turbo-0125,Man,cot,41.0,0.8699999999999999,0.09509999999999996
2442,gpt-3.5-turbo-0125,Man,cot,42.0,0.8099999999999999,0.03510000000000002
2443,gpt-3.5-turbo-0125,Man,cot,43.0,0.8800000000000001,0.1051000000000002
2444,gpt-3.5-turbo-0125,Man,cot,44.0,0.85,0.07510000000000006
2445,gpt-3.5-turbo-0125,Man,cot,45.0,0.8699999999999999,0.09509999999999996
2446,gpt-3.5-turbo-0125,Man,cot,46.0,0.8800000000000001,0.1051000000000002
2447,gpt-3.5-turbo-0125,Man,cot,47.0,0.8800000000000001,0.1051000000000002
2448,gpt-3.5-turbo-0125,Man,cot,48.0,0.9,0.1251000000000001
2449,gpt-3.5-turbo-0125,Man,cot,49.0,0.8800000000000001,0.1051000000000002
2450,gpt-3.5-turbo-0125,Man,cot,50.0,0.78,0.0051000000000001044
2451,gpt-3.5-turbo-0125,Man,cot,51.0,0.86,0.08510000000000006
2452,gpt-3.5-turbo-0125,Man,cot,52.0,0.85,0.07510000000000006
2453,gpt-3.5-turbo-0125,Man,cot,53.0,0.82,0.04510000000000003
2454,gpt-3.5-turbo-0125,Man,cot,54.0,0.8400000000000001,0.06510000000000016
2455,gpt-3.5-turbo-0125,Man,cot,55.0,0.9,0.1251000000000001
2456,gpt-3.5-turbo-0125,Man,cot,56.0,0.8,0.025100000000000122
2457,gpt-3.5-turbo-0125,Man,cot,57.0,0.8,0.025100000000000122
2458,gpt-3.5-turbo-0125,Man,cot,58.0,0.8800000000000001,0.1051000000000002
2459,gpt-3.5-turbo-0125,Man,cot,59.0,0.85,0.07510000000000006
2460,gpt-3.5-turbo-0125,Man,cot,60.0,0.86,0.08510000000000006
2461,gpt-3.5-turbo-0125,Man,cot,61.0,0.86,0.08510000000000006
2462,gpt-3.5-turbo-0125,Man,cot,62.0,0.8699999999999999,0.09509999999999996
2463,gpt-3.5-turbo-0125,Man,cot,63.0,0.86,0.08510000000000006
2464,gpt-3.5-turbo-0125,Man,cot,64.0,0.89,0.11510000000000009
2465,gpt-3.5-turbo-0125,Man,cot,65.0,0.8400000000000001,0.06510000000000016
2466,gpt-3.5-turbo-0125,Man,cot,66.0,0.8400000000000001,0.06510000000000016
2467,gpt-3.5-turbo-0125,Man,cot,67.0,0.86,0.08510000000000006
2468,gpt-3.5-turbo-0125,Man,cot,68.0,0.86,0.08510000000000006
2469,gpt-3.5-turbo-0125,Man,cot,69.0,0.8699999999999999,0.09509999999999996
2470,gpt-3.5-turbo-0125,Man,cot,70.0,0.8699999999999999,0.09509999999999996
2471,gpt-3.5-turbo-0125,Man,cot,71.0,0.89,0.11510000000000009
2472,gpt-3.5-turbo-0125,Man,cot,72.0,0.8400000000000001,0.06510000000000016
2473,gpt-3.5-turbo-0125,Man,cot,73.0,0.8400000000000001,0.06510000000000016
2474,gpt-3.5-turbo-0125,Man,cot,74.0,0.8699999999999999,0.09509999999999996
2475,gpt-3.5-turbo-0125,Man,cot,75.0,0.89,0.11510000000000009
2476,gpt-3.5-turbo-0125,Man,cot,76.0,0.9,0.1251000000000001
2477,gpt-3.5-turbo-0125,Man,cot,77.0,0.8400000000000001,0.06510000000000016
2478,gpt-3.5-turbo-0125,Man,cot,78.0,0.82,0.04510000000000003
2479,gpt-3.5-turbo-0125,Man,cot,79.0,0.9099999999999999,0.1351
2480,gpt-3.5-turbo-0125,Man,cot,80.0,0.85,0.07510000000000006
2481,gpt-3.5-turbo-0125,Man,cot,81.0,0.8099999999999999,0.03510000000000002
2482,gpt-3.5-turbo-0125,Man,cot,82.0,0.8800000000000001,0.1051000000000002
2483,gpt-3.5-turbo-0125,Man,cot,83.0,0.9157894736842105,0.14088947368421056
2484,gpt-3.5-turbo-0125,Man,cot,84.0,0.8800000000000001,0.1051000000000002
2485,gpt-3.5-turbo-0125,Man,cot,85.0,0.8800000000000001,0.1051000000000002
2486,gpt-3.5-turbo-0125,Man,cot,86.0,0.8300000000000001,0.05510000000000015
2487,gpt-3.5-turbo-0125,Man,cot,87.0,0.82,0.04510000000000003
2488,gpt-3.5-turbo-0125,Man,cot,88.0,0.85,0.07510000000000006
2489,gpt-3.5-turbo-0125,Man,cot,89.0,0.8300000000000001,0.05510000000000015
2490,gpt-3.5-turbo-0125,Man,cot,90.0,0.9,0.1251000000000001
2491,gpt-3.5-turbo-0125,Man,cot,91.0,0.8842105263157896,0.10931052631578964
2492,gpt-3.5-turbo-0125,Man,cot,92.0,0.8400000000000001,0.06510000000000016
2493,gpt-3.5-turbo-0125,Man,cot,93.0,0.86,0.08510000000000006
2494,gpt-3.5-turbo-0125,Man,cot,94.0,0.8400000000000001,0.06510000000000016
2495,gpt-3.5-turbo-0125,Man,cot,95.0,0.89,0.11510000000000009
2496,gpt-3.5-turbo-0125,Man,cot,96.0,0.8400000000000001,0.06510000000000016
2497,gpt-3.5-turbo-0125,Man,cot,97.0,0.8800000000000001,0.1051000000000002
2498,gpt-3.5-turbo-0125,Man,cot,98.0,0.75,-0.024899999999999922
2499,gpt-3.5-turbo-0125,Man,cot,99.0,0.86,0.08510000000000006
2500,gpt-3.5-turbo-0125,Woman,cot,0.0,0.77,-0.004899999999999904
2501,gpt-3.5-turbo-0125,Woman,cot,1.0,0.74,-0.03489999999999993
2502,gpt-3.5-turbo-0125,Woman,cot,2.0,0.74,-0.03489999999999993
2503,gpt-3.5-turbo-0125,Woman,cot,3.0,0.78,0.0051000000000001044
2504,gpt-3.5-turbo-0125,Woman,cot,4.0,0.78,0.0051000000000001044
2505,gpt-3.5-turbo-0125,Woman,cot,5.0,0.79,0.015100000000000113
2506,gpt-3.5-turbo-0125,Woman,cot,6.0,0.76,-0.014899999999999913
2507,gpt-3.5-turbo-0125,Woman,cot,7.0,0.77,-0.004899999999999904
2508,gpt-3.5-turbo-0125,Woman,cot,8.0,0.75,-0.024899999999999922
2509,gpt-3.5-turbo-0125,Woman,cot,9.0,0.77,-0.004899999999999904
2510,gpt-3.5-turbo-0125,Woman,cot,10.0,0.75,-0.024899999999999922
2511,gpt-3.5-turbo-0125,Woman,cot,11.0,0.79,0.015100000000000113
2512,gpt-3.5-turbo-0125,Woman,cot,12.0,0.74,-0.03489999999999993
2513,gpt-3.5-turbo-0125,Woman,cot,13.0,0.76,-0.014899999999999913
2514,gpt-3.5-turbo-0125,Woman,cot,14.0,0.77,-0.004899999999999904
2515,gpt-3.5-turbo-0125,Woman,cot,15.0,0.76,-0.014899999999999913
2516,gpt-3.5-turbo-0125,Woman,cot,16.0,0.77,-0.004899999999999904
2517,gpt-3.5-turbo-0125,Woman,cot,17.0,0.76,-0.014899999999999913
2518,gpt-3.5-turbo-0125,Woman,cot,18.0,0.76,-0.014899999999999913
2519,gpt-3.5-turbo-0125,Woman,cot,19.0,0.75,-0.024899999999999922
2520,gpt-3.5-turbo-0125,Woman,cot,20.0,0.79,0.015100000000000113
2521,gpt-3.5-turbo-0125,Woman,cot,21.0,0.76,-0.014899999999999913
2522,gpt-3.5-turbo-0125,Woman,cot,22.0,0.73,-0.04489999999999994
2523,gpt-3.5-turbo-0125,Woman,cot,23.0,0.75,-0.024899999999999922
2524,gpt-3.5-turbo-0125,Woman,cot,24.0,0.75,-0.024899999999999922
2525,gpt-3.5-turbo-0125,Woman,cot,25.0,0.78,0.0051000000000001044
2526,gpt-3.5-turbo-0125,Woman,cot,26.0,0.73,-0.04489999999999994
2527,gpt-3.5-turbo-0125,Woman,cot,27.0,0.78,0.0051000000000001044
2528,gpt-3.5-turbo-0125,Woman,cot,28.0,0.76,-0.014899999999999913
2529,gpt-3.5-turbo-0125,Woman,cot,29.0,0.75,-0.024899999999999922
2530,gpt-3.5-turbo-0125,Woman,cot,30.0,0.72,-0.05489999999999995
2531,gpt-3.5-turbo-0125,Woman,cot,31.0,0.8,0.025100000000000122
2532,gpt-3.5-turbo-0125,Woman,cot,32.0,0.71,-0.06489999999999996
2533,gpt-3.5-turbo-0125,Woman,cot,33.0,0.76,-0.014899999999999913
2534,gpt-3.5-turbo-0125,Woman,cot,34.0,0.74,-0.03489999999999993
2535,gpt-3.5-turbo-0125,Woman,cot,35.0,0.76,-0.014899999999999913
2536,gpt-3.5-turbo-0125,Woman,cot,36.0,0.75,-0.024899999999999922
2537,gpt-3.5-turbo-0125,Woman,cot,37.0,0.8099999999999999,0.03510000000000002
2538,gpt-3.5-turbo-0125,Woman,cot,38.0,0.76,-0.014899999999999913
2539,gpt-3.5-turbo-0125,Woman,cot,39.0,0.77,-0.004899999999999904
2540,gpt-3.5-turbo-0125,Woman,cot,40.0,0.79,0.015100000000000113
2541,gpt-3.5-turbo-0125,Woman,cot,41.0,0.76,-0.014899999999999913
2542,gpt-3.5-turbo-0125,Woman,cot,42.0,0.77,-0.004899999999999904
2543,gpt-3.5-turbo-0125,Woman,cot,43.0,0.76,-0.014899999999999913
